Name	Platform	Year_of_Release	Genre	Publisher	NA_Sales	EU_Sales	JP_Sales	Other_Sales	Global_Sales
Super Breakout	2600	1976	Puzzle	Atari	0.41	0.03	0	0	0.44
Combat	2600	1977	Action	Atari	1.17	0.07	0	0.01	1.25
Circus Atari	2600	1977	Action	Atari	0.43	0.03	0	0	0.46
Indy 500	2600	1977	Racing	Atari	0.26	0.01	0	0	0.27
Hangman	2600	1978	Puzzle	Atari	0.35	0.02	0	0	0.38
Breakaway IV	2600	1978	Puzzle	Sears	0.2	0.01	0	0	0.21
Space Invaders	2600	1978	Shooter	Atari	2.36	0.14	0	0.03	2.53
Home Run	2600	1978	Sports	Atari	0.14	0.01	0	0	0.15
Slot Machine	2600	1979	Action	Atari	0.29	0.02	0	0	0.31
Maze Craze: A Game of Cops n Robbers	2600	1980	Action	Atari	0.42	0.02	0	0	0.45
Freeway	2600	1980	Action	Activision	0.32	0.02	0	0	0.34
Adventure	2600	1980	Adventure	Atari	1.21	0.08	0	0.01	1.3
Boxing	2600	1980	Fighting	Activision	0.72	0.04	0	0.01	0.77
Kaboom!	2600	1980	Misc	Activision	1.07	0.07	0	0.01	1.15
Defender	2600	1980	Misc	Atari	0.99	0.05	0	0.01	1.05
Bridge	2600	1980	Misc	Activision	0.25	0.02	0	0	0.27
Checkers	2600	1980	Misc	Atari	0.22	0.01	0	0	0.24
Dragster	2600	1980	Racing	Activision	0.3	0.02	0	0	0.32
Asteroids	2600	1980	Shooter	Atari	4	0.26	0	0.05	4.31
Missile Command	2600	1980	Shooter	Atari	2.56	0.17	0	0.03	2.76
Air-Sea Battle	2600	1980	Shooter	Atari	0.91	0.06	0	0.01	0.98
Fishing Derby	2600	1980	Sports	Activision	0.48	0.03	0	0.01	0.51
Ice Hockey	2600	1980	Sports	Activision	0.46	0.03	0	0.01	0.49
Frogger	2600	1981	Action	Parker Bros.	2.06	0.12	0	0.02	2.2
E.T.: The Extra Terrestrial	2600	1981	Action	Atari	1.84	0.11	0	0.02	1.97
Spider-Man	2600	1981	Action	Parker Bros.	0.87	0.05	0	0.01	0.93
Custers Revenge	2600	1981	Action	Mystique	0.76	0.05	0	0.01	0.82
Alien	2600	1981	Action	20th Century Fox Video Games	0.74	0.04	0	0.01	0.79
Air Raid	2600	1981	Action	Men-A-Vision	0.72	0.04	0	0.01	0.77
King Kong	2600	1981	Action	Tigervision	0.65	0.04	0	0.01	0.69
Adventures of Tron	2600	1981	Action	Mattel Interactive	0.63	0.03	0	0.01	0.67
Smurf: Rescue In Gargamels Castle	2600	1981	Action	Coleco	0.55	0.03	0	0.01	0.59
Raiders of the Lost Ark	2600	1981	Action	Atari	0.46	0.03	0	0.01	0.5
Jawbreaker	2600	1981	Action	Tigervision	0.42	0.03	0	0	0.45
Barnstorming	2600	1981	Action	Activision	0.4	0.02	0	0	0.43
Mouse Trap	2600	1981	Action	Coleco	0.38	0.02	0	0	0.4
Laser Blast	2600	1981	Action	Activision	0.37	0.02	0	0	0.39
Airlock	2600	1981	Action	Data Age	0.36	0.02	0	0	0.39
Dragonfire	2600	1981	Action	Imagic	0.35	0.02	0	0	0.37
Frogs And Flies	2600	1981	Action	Mattel Interactive	0.33	0.02	0	0	0.36
Fantastic Voyage	2600	1981	Action	20th Century Fox Video Games	0.32	0.02	0	0	0.34
Fireball	2600	1981	Action	Starpath Corp.	0.3	0.02	0	0	0.33
Astroblast	2600	1981	Action	Mattel Interactive	0.29	0.02	0	0	0.31
Fast Food	2600	1981	Action	Telesys	0.27	0.02	0	0	0.29
Front Line	2600	1981	Action	Taito	0.22	0.01	0	0	0.24
Reactor	2600	1981	Action	Parker Bros.	0.21	0.01	0	0	0.22
Crazy Climber	2600	1981	Action	Atari	0.21	0.01	0	0	0.22
Armor Ambush	2600	1981	Action	Mattel Interactive	0.15	0.01	0	0	0.17
Pitfall!	2600	1981	Platform	Activision	4.21	0.24	0	0.05	4.5
Donkey Kong	2600	1981	Platform	Coleco	1.36	0.08	0	0.02	1.46
Donkey Kong Junior	2600	1981	Platform	Atari	0.9	0.05	0	0.01	0.97
Ms. Pac-Man	2600	1981	Puzzle	Atari	1.54	0.1	0	0.02	1.65
BurgerTime	2600	1981	Puzzle	Mattel Interactive	0.55	0.03	0	0.01	0.59
Grand Prix	2600	1981	Racing	Activision	0.45	0.03	0	0	0.48
Demon Attack	2600	1981	Shooter	Imagic	1.99	0.12	0	0.02	2.13
River Raid	2600	1981	Shooter	Activision	1.49	0.09	0	0.02	1.6
Centipede	2600	1981	Shooter	Atari	1.26	0.08	0	0.01	1.36
Atlantis	2600	1981	Shooter	Imagic	1.18	0.08	0	0.01	1.27
Megamania	2600	1981	Shooter	Activision	1.03	0.06	0	0.01	1.1
Cosmic Ark	2600	1981	Shooter	Imagic	0.99	0.05	0	0.01	1.05
Berzerk	2600	1981	Shooter	Atari	0.68	0.04	0	0.01	0.73
Carnival	2600	1981	Shooter	Coleco	0.32	0.02	0	0	0.34
Dark Cavern	2600	1981	Shooter	Mattel Interactive	0.22	0.01	0	0	0.24
Deadly Duck	2600	1981	Shooter	20th Century Fox Video Games	0.21	0.01	0	0	0.22
Phoenix	2600	1981	Simulation	Atari	0.42	0.02	0	0	0.45
RealSports Football	2600	1981	Sports	Atari	0.24	0.01	0	0	0.26
RealSports Baseball	2600	1981	Sports	Atari	0.2	0.01	0	0	0.21
International Soccer	2600	1981	Sports	Mattel Interactive	0.18	0.01	0	0	0.19
RealSports Volleyball	2600	1981	Sports	Atari	0.12	0.01	0	0	0.13
Keystone Kapers	2600	1982	Action	Activision	0.62	0.04	0	0.01	0.66
X-Man	2600	1982	Action	Universal Gamex	0.58	0.04	0	0.01	0.63
Halloween	2600	1982	Action	Wizard Video Games	0.58	0.03	0	0.01	0.62
