Year_of_Release;Publisher;Global_Sales;
1976;Atari;0.44;
1977;Atari;1.25;
1977;Atari;0.46;
1977;Atari;0.27;
1978;Atari;2.53;
1978;Atari;0.38;
1978;Sears;0.21;
1978;Atari;0.15;
1979;Atari;0.31;
1980;Atari;4.31;
1980;Atari;2.76;
1980;Atari;1.3;
1980;Activision;1.15;
1980;Atari;1.05;
1980;Atari;0.98;
1980;Activision;0.77;
1980;Activision;0.51;
1980;Activision;0.49;
1980;Atari;0.45;
1980;Activision;0.34;
1980;Activision;0.32;
1980;Activision;0.27;
1980;Atari;0.24;
1981;Activision;4.5;
1981;Parker Bros.;2.2;
1981;Imagic;2.13;
1981;Atari;1.97;
1981;Atari;1.65;
1981;Activision;1.6;
1981;Coleco;1.46;
1981;Atari;1.36;
1981;Imagic;1.27;
1981;Activision;1.1;
1981;Imagic;1.05;
1981;Atari;0.97;
1981;Parker Bros.;0.93;
1981;Mystique;0.82;
1981;20th Century Fox Video Games;0.79;
1981;Men-A-Vision;0.77;
1981;Atari;0.73;
1981;Tigervision;0.69;
1981;Mattel Interactive;0.67;
1981;Mattel Interactive;0.59;
1981;Coleco;0.59;
1981;Atari;0.5;
1981;Activision;0.48;
1981;Atari;0.45;
1981;Tigervision;0.45;
1981;Activision;0.43;
1981;Coleco;0.4;
1981;Activision;0.39;
1981;Data Age;0.39;
1981;Imagic;0.37;
1981;Mattel Interactive;0.36;
1981;20th Century Fox Video Games;0.34;
1981;Coleco;0.34;
1981;Starpath Corp.;0.33;
1981;Mattel Interactive;0.31;
1981;Telesys;0.29;
1981;Atari;0.26;
1981;Taito;0.24;
1981;Mattel Interactive;0.24;
1981;20th Century Fox Video Games;0.22;
1981;Parker Bros.;0.22;
1981;Atari;0.22;
1981;Atari;0.21;
1981;Mattel Interactive;0.19;
1981;Mattel Interactive;0.17;
1981;Atari;0.13;
1982;Atari;7.81;
1982;Atari;1.64;
1982;Atari;1.59;
1982;Atari;1.18;
1982;Atari;1.12;
1982;Atari;1.1;
1982;Atari;1.08;
1982;Quelle;0.87;
1982;Atari;0.78;
1982;Atari;0.77;
1982;Atari;0.72;
1982;Activision;0.66;
1982;Universal Gamex;0.63;
1982;Atari;0.62;
1982;Wizard Video Games;0.62;
1982;Parker Bros.;0.58;
1982;Activision;0.55;
1982;CPG Products;0.54;
1982;Parker Bros.;0.54;
1982;Activision;0.5;
1982;Atari;0.5;
1982;Answer Software;0.5;
1982;Ultravision;0.47;
1982;Sega;0.4;
1982;Mattel Interactive;0.39;
1982;Atari;0.38;
1982;ITT Family Games;0.34;
1982;20th Century Fox Video Games;0.34;
1982;Data Age;0.32;
1982;CBS Electronics;0.31;
1982;Tigervision;0.28;
1982;Coleco;0.27;
1982;20th Century Fox Video Games;0.25;
1982;Bom;0.22;
1982;Avalon Interactive;0.17;
1982;Activision;0.15;
1982;Atari;0.14;
1983;Nintendo;3.2;
1983;Nintendo;2.28;
1983;Nintendo;2.14;
1983;Activision;1.31;
1983;Nintendo;1.13;
1983;Nintendo;1.11;
1983;Nintendo;1.1;
1983;Atari;0.78;
1983;Atari;0.77;
1983;Atari;0.5;
1983;Atari;0.48;
1983;Atari;0.46;
1983;Atari;0.4;
1983;Activision;0.34;
1983;Parker Bros.;0.33;
1983;Activision;0.29;
1983;Atari;0.27;
1983;Parker Bros.;0.17;
1984;Nintendo;28.31;
1984;Nintendo;4.16;
1984;Nintendo;4.01;
1984;Nintendo;2.17;
1984;Nintendo;1.85;
1984;Namco Bandai Games;1.52;
1984;Nintendo;1.52;
1984;Nintendo;1.45;
1984;Nintendo;1.27;
1984;Namco Bandai Games;1.22;
1984;Hudson Soft;1.1;
1984;Nintendo;0.82;
1984;Namco Bandai Games;0.69;
1984;Activision;0.27;
1985;Nintendo;40.24;
1985;Nintendo;3.5;
1985;Nintendo;1.96;
1985;Nintendo;1.5;
1985;Nintendo;1.32;
1985;Namco Bandai Games;1.05;
1985;Hudson Soft;1.03;
1985;Capcom;1;
1985;Nintendo;0.92;
